tolerance,threshold_ratio,min_length,gap_penalty,mismatch_score,match_score,auc
0.1,0.3,9,0,-3,2,0.579021164021164
0.1,0.3,9,0,-3,3,0.579021164021164
0.1,0.3,9,-1,0,1,0.5858201058201059
0.1,0.3,9,-1,0,2,0.5892460317460317
0.1,0.3,9,-1,0,3,0.5894047619047619
0.1,0.3,9,-1,-1,1,0.5741005291005291
0.1,0.3,9,-1,-1,2,0.5940343915343916
0.1,0.3,9,-1,-1,3,0.5844312169312169
0.1,0.3,9,-1,-2,1,0.7057804232804235
0.1,0.3,9,-1,-2,2,0.5319973544973545
0.1,0.3,9,-1,-2,3,0.5806481481481481
0.1,0.3,9,-1,-3,1,0.6726851851851852
0.1,0.3,9,-1,-3,2,0.5549999999999999
0.1,0.3,9,-1,-3,3,0.5626322751322751
0.1,0.3,9,-2,0,1,0.5890343915343915
0.1,0.3,9,-2,0,2,0.5858201058201059
0.1,0.3,9,-2,0,3,0.5897883597883598
0.1,0.3,9,-2,-1,1,0.6371693121693122
0.1,0.3,9,-2,-1,2,0.5483597883597884
0.1,0.3,9,-2,-1,3,0.5701322751322752
0.1,0.3,9,-2,-2,1,0.6267328042328043
0.1,0.3,9,-2,-2,2,0.5741005291005291
0.1,0.3,9,-2,-2,3,0.5247751322751323
0.1,0.3,9,-2,-3,1,0.61239417989418
0.1,0.3,9,-2,-3,2,0.6331349206349206
0.1,0.3,9,-2,-3,3,0.5507671957671957
0.1,0.3,9,-3,0,1,0.5886640211640212
0.1,0.3,9,-3,0,2,0.5857275132275133
0.1,0.3,9,-3,0,3,0.5858201058201059
0.1,0.3,9,-3,-1,1,0.6463888888888889
0.1,0.3,9,-3,-1,2,0.5208465608465607
0.1,0.3,9,-3,-1,3,0.5676851851851853
0.1,0.3,9,-3,-2,1,0.6085978835978837
0.1,0.3,9,-3,-2,2,0.5995899470899471
0.1,0.3,9,-3,-2,3,0.539404761904762
0.1,0.3,9,-3,-3,1,0.5962169312169312
0.1,0.3,9,-3,-3,2,0.7191534391534392
0.1,0.3,9,-3,-3,3,0.5741005291005291
0.1,0.3,11,0,0,1,0.5912301587301587
0.1,0.3,11,0,0,2,0.5912301587301587
0.1,0.3,11,0,0,3,0.5912301587301587
0.1,0.3,11,0,-1,1,0.5832275132275131
0.1,0.3,11,0,-1,2,0.5832275132275131
0.1,0.3,11,0,-1,3,0.5832275132275131
0.1,0.3,11,0,-2,1,0.5832275132275131
0.1,0.3,11,0,-2,2,0.5832275132275131
0.1,0.3,11,0,-2,3,0.5832275132275131
0.1,0.3,11,0,-3,1,0.5832275132275131
0.1,0.3,11,0,-3,2,0.5832275132275131
0.1,0.3,11,0,-3,3,0.5832275132275131
0.1,0.3,11,-1,0,1,0.5927380952380953
0.1,0.3,11,-1,0,2,0.5958862433862434
0.1,0.3,11,-1,0,3,0.5959656084656083
0.1,0.3,11,-1,-1,1,0.6339682539682538
0.1,0.3,11,-1,-1,2,0.5752777777777778
0.1,0.3,11,-1,-1,3,0.6017328042328043
0.1,0.3,11,-1,-2,1,0.6564814814814816
0.1,0.3,11,-1,-2,2,0.5455423280423279
0.1,0.3,11,-1,-2,3,0.5589153439153438
0.1,0.3,11,-1,-3,1,0.6672222222222222
0.1,0.3,11,-1,-3,2,0.5749867724867724
0.1,0.3,11,-1,-3,3,0.5641402116402117
0.1,0.3,11,-2,0,1,0.5957407407407408
0.1,0.3,11,-2,0,2,0.5927380952380953
0.1,0.3,11,-2,0,3,0.5963227513227514
0.1,0.3,11,-2,-1,1,0.6919576719576721
0.1,0.3,11,-2,-1,2,0.5638756613756613
0.1,0.3,11,-2,-1,3,0.5913492063492063
0.1,0.3,11,-2,-2,1,0.5872883597883598
0.1,0.3,11,-2,-2,2,0.6339682539682538
0.1,0.3,11,-2,-2,3,0.548994708994709
0.1,0.3,11,-2,-3,1,0.5856613756613757
0.1,0.3,11,-2,-3,2,0.6478174603174603
0.1,0.3,11,-2,-3,3,0.5711243386243386
0.1,0.3,11,-3,0,1,0.5953174603174602
0.1,0.3,11,-3,0,2,0.5924470899470899
0.1,0.3,11,-3,0,3,0.5927380952380953
0.1,0.3,11,-3,-1,1,0.7125661375661375
0.1,0.3,11,-3,-1,2,0.5187169312169312
0.1,0.3,11,-3,-1,3,0.5892460317460317
0.1,0.3,11,-3,-2,1,0.5667989417989419
0.1,0.3,11,-3,-2,2,0.6461772486772489
0.1,0.3,11,-3,-2,3,0.5426587301587301
0.1,0.3,11,-3,-3,1,0.5635052910052909
0.1,0.3,11,-3,-3,2,0.6743386243386245
0.1,0.3,11,-3,-3,3,0.6339682539682538
0.1,0.5,3,0,0,1,0.5917063492063492
0.1,0.5,3,0,0,2,0.5917063492063492
